[start] episodes=300
Episode 1/300, BossReward: 560.80, EnemyReward: 434.50, eps(B):0.01, eps(E):0.01
Episode 2/300, BossReward: 426.70, EnemyReward: 646.85, eps(B):0.01, eps(E):0.01
Episode 3/300, BossReward: 419.70, EnemyReward: 459.35, eps(B):0.01, eps(E):0.01
Episode 4/300, BossReward: -300.00, EnemyReward: 665.10, eps(B):0.01, eps(E):0.01
Episode 5/300, BossReward: -300.00, EnemyReward: 614.85, eps(B):0.01, eps(E):0.01
Episode 6/300, BossReward: 671.80, EnemyReward: 282.05, eps(B):0.01, eps(E):0.01
Episode 7/300, BossReward: 662.20, EnemyReward: 96.60, eps(B):0.01, eps(E):0.01
Episode 8/300, BossReward: 663.50, EnemyReward: 94.55, eps(B):0.01, eps(E):0.01
Episode 9/300, BossReward: 664.50, EnemyReward: 93.10, eps(B):0.01, eps(E):0.01
Episode 10/300, BossReward: 613.50, EnemyReward: 169.75, eps(B):0.01, eps(E):0.01
Episode 11/300, BossReward: 637.10, EnemyReward: 134.60, eps(B):0.01, eps(E):0.01
Episode 12/300, BossReward: 704.80, EnemyReward: 33.50, eps(B):0.01, eps(E):0.01
Episode 13/300, BossReward: 455.90, EnemyReward: 556.45, eps(B):0.01, eps(E):0.01
Episode 14/300, BossReward: 485.30, EnemyReward: 512.60, eps(B):0.01, eps(E):0.01
Episode 15/300, BossReward: 645.10, EnemyReward: 273.55, eps(B):0.01, eps(E):0.01
Episode 16/300, BossReward: 676.60, EnemyReward: 126.65, eps(B):0.01, eps(E):0.01
Episode 17/300, BossReward: 700.10, EnemyReward: 40.85, eps(B):0.01, eps(E):0.01
Episode 18/300, BossReward: 423.20, EnemyReward: 506.60, eps(B):0.01, eps(E):0.01
Episode 19/300, BossReward: 502.50, EnemyReward: 337.45, eps(B):0.01, eps(E):0.01
Episode 20/300, BossReward: 628.10, EnemyReward: 149.15, eps(B):0.01, eps(E):0.01
Episode 21/300, BossReward: 434.80, EnemyReward: 489.35, eps(B):0.01, eps(E):0.01
Episode 22/300, BossReward: 655.20, EnemyReward: 259.05, eps(B):0.01, eps(E):0.01
Episode 23/300, BossReward: 668.40, EnemyReward: 89.10, eps(B):0.01, eps(E):0.01
Episode 24/300, BossReward: 671.50, EnemyReward: 284.40, eps(B):0.01, eps(E):0.01
Episode 25/300, BossReward: 636.90, EnemyReward: 185.95, eps(B):0.01, eps(E):0.01
Episode 26/300, BossReward: 693.60, EnemyReward: 51.05, eps(B):0.01, eps(E):0.01
Episode 27/300, BossReward: 651.10, EnemyReward: 264.95, eps(B):0.01, eps(E):0.01
Episode 28/300, BossReward: 650.60, EnemyReward: 265.45, eps(B):0.01, eps(E):0.01
Episode 29/300, BossReward: 550.90, EnemyReward: 465.85, eps(B):0.01, eps(E):0.01
Episode 30/300, BossReward: 618.30, EnemyReward: 163.70, eps(B):0.01, eps(E):0.01
Episode 31/300, BossReward: 670.70, EnemyReward: 85.80, eps(B):0.01, eps(E):0.01
Episode 32/300, BossReward: 662.60, EnemyReward: 97.55, eps(B):0.01, eps(E):0.01
Episode 33/300, BossReward: 415.80, EnemyReward: 518.00, eps(B):0.01, eps(E):0.01
Episode 34/300, BossReward: 679.30, EnemyReward: 222.65, eps(B):0.01, eps(E):0.01
Episode 35/300, BossReward: 630.50, EnemyReward: 145.75, eps(B):0.01, eps(E):0.01
Episode 36/300, BossReward: 582.10, EnemyReward: 218.50, eps(B):0.01, eps(E):0.01
Episode 37/300, BossReward: 662.50, EnemyReward: 250.70, eps(B):0.01, eps(E):0.01
